objectid,wd18cd,wd18nm,wd18nmw,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
7491,S13002772,North Isles, ,449774,1192719,-1.09257,60.61478,400910005.076335,371807.029673107
7492,S13002773,Shetland North, ,436388,1187413,-1.33806,60.568581,462778049.3742,431020.668360694
7493,S13002774,Shetland West, ,429834,1148665,-1.46336,60.22123,327246788.815093,320351.679300834
7494,S13002775,Shetland Central, ,442459,1145673,-1.23613,60.193249,73697059.7883295,141497.928949668
7495,S13002776,Shetland South, ,440170,1125168,-1.28143,60.00938,141103878.968867,150634.805061533
7496,S13002777,Lerwick North, ,450227,1140323,-1.09739,60.144341,39160133.0399452,65629.1694084964
7497,S13002778,Lerwick South, ,445238,1139858,-1.18731,60.140751,15327025.6585061,29456.4427704076
7498,S13002820,Linlithgow, ,301836,675630,-3.57407,55.9636,62877278.6114746,52885.446087461
7499,S13002821,"Broxburn, Uphall and Winchburgh", ,306388,673616,-3.50048,55.946419,39002438.7090508,36609.8110994297
7500,S13002822,Livingston North, ,303036,668577,-3.55232,55.900501,11144030.3034847,15258.0696191969
7501,S13002823,Livingston South, ,305233,665910,-3.51626,55.87698,16680473.3385862,19825.4449267101
7502,S13002824,East Livingston and East Calder, ,307111,659274,-3.48398,55.817749,110208687.58321,58649.207431049
7503,S13002825,Fauldhouse and the Breich Valley, ,297298,660483,-3.64098,55.826618,74949529.3324159,47362.3374398786
7504,S13002826,Whitburn and Blackburn, ,296746,665227,-3.65159,55.869099,37857997.23802,33767.056620011
7505,S13002827,Bathgate, ,298481,669131,-3.62534,55.904541,24560720.7332525,22595.5678716704
7506,S13002828,Armadale and Blackridge, ,292513,669961,-3.72108,55.91069,52405314.2743022,42950.8350482147
7507,S13002830,North East, ,342870,733751,-2.92944,56.492352,7619983.37558537,13274.4682723595
7508,S13002835,Dyce/Bucksburn/Danestone, ,386500,812169,-2.22506,57.200089,48317586.2663438,36548.1906322247
7509,S13002836,Bridge of Don, ,393288,812097,-2.11272,57.199589,24454490.7506774,21630.014047633
7510,S13002837,Kingswells/Sheddocksley/Summerhill, ,387268,807547,-2.21212,57.158588,14226876.6146734,19795.7732878164
7511,S13002838,Northfield/Mastrick North, ,390666,808184,-2.15597,57.164391,2998838.34712653,6623.33686614315
7512,S13002839,Hilton/Woodside/Stockethill, ,392135,808283,-2.13168,57.16531,2594682.84881487,7832.7139357494
7513,S13002840,Tillydrone/Seaton/Old Aberdeen, ,394211,808651,-2.09736,57.168652,4254334.63320142,10831.0704647339
7514,S13002841,Midstocket/Rosemount, ,392279,806786,-2.12925,57.151871,3213017.52699301,8628.94245124699
7515,S13002842,George St/Harbour, ,394480,806715,-2.09287,57.15126,3780307.82201407,12435.591830469
7516,S13002843,Lower Deeside, ,383862,802374,-2.26809,57.112011,46608585.44998,43625.6399908662
7517,S13002844,Hazlehead/Queens Cross/Countesswells, ,389731,805126,-2.1713,57.136902,11028991.1211178,17921.5489817013
7518,S13002845,Airyhall/Broomhill/Garthdee, ,391695,804200,-2.13882,57.128632,4106191.4281267,9285.46587203908
7519,S13002846,Torry/Ferryhill, ,395675,805073,-2.07309,57.13652,5164397.73706889,13318.4775431659
7520,S13002847,Kincorth/Nigg/Cove, ,394821,801834,-2.08714,57.107422,15166482.9680851,15753.4798750217
7521,S13002848,Banff and District, ,361589,857211,-2.64438,57.603241,265200296.295087,84765.9530016931
7522,S13002849,Troup, ,381990,860189,-2.30325,57.631271,255568819.866264,94104.436000412
7523,S13002850,Fraserburgh and District, ,400405,861477,-1.99488,57.6432,66902364.896463,41955.3065283281
7524,S13002851,Central Buchan, ,395795,848127,-2.07186,57.52327,385632648.324228,112399.589409424
7525,S13002852,Peterhead North and Rattray, ,407480,854861,-1.87657,57.583721,111615207.369238,66801.1078689163
7526,S13002853,Peterhead South and Cruden, ,407733,838797,-1.87283,57.439419,85339798.553044,51761.4544261043
7527,S13002854,Turriff and District, ,374953,843338,-2.41934,57.479568,428477805.349156,119673.233440247
7528,S13002855,Mid Formartine, ,385176,824710,-2.24773,57.312698,231786303.612021,99339.6954982618
7529,S13002856,Ellon and District, ,398202,830436,-2.03154,57.364368,196395237.103853,94929.8580202736
7530,S13002857,West Garioch, ,366532,824828,-2.55723,57.312771,239192798.022887,108941.493849048
7531,S13002858,Inverurie and District, ,378198,820478,-2.36319,57.274399,45801951.650543,41775.3993975201
7532,S13002859,East Garioch, ,383431,816440,-2.27614,57.23835,120426498.178977,74896.9007512617
7533,S13002860,Westhill and District, ,374298,807523,-2.42652,57.157829,178976411.569163,69121.7193182338
7534,S13002861,"Huntly, Strathbogie and Howe of Alford", ,355440,827910,-2.74191,57.3395,799160553.638345,197625.409339234
7535,S13002862,"Aboyne, Upper Deeside and Donside", ,328566,799358,-3.18006,57.079651,1746555470.6267,280010.590759058
7536,S13002863,Banchory and Mid Deeside, ,361232,790851,-2.63992,57.007149,407452849.162279,111855.866222876
7537,S13002864,North Kincardine, ,388390,795818,-2.19302,57.053261,110044560.420668,46882.8194014077
7538,S13002865,Stonehaven and Lower Deeside, ,380598,793075,-2.32125,57.028351,191658882.18479,89609.4209136064
7539,S13002866,Mearns, ,372816,775067,-2.4475,56.866192,451578543.925058,99151.72483864
7540,S13002867,Kirriemuir and Dean, ,331790,761895,-3.11679,56.74366,816296156.546413,189740.654518749
7541,S13002868,Brechin and Edzell, ,348264,772215,-2.84959,56.838482,715591662.835926,144719.425362954
7542,S13002869,Forfar and District, ,347494,751549,-2.85796,56.652771,67698000.4827474,47248.6755392768
7543,S13002870,Monifieth and Sidlaw, ,337150,737227,-3.02316,56.522839,154005870.111351,94843.8610199198
7544,S13002871,Carnoustie and District, ,353991,735947,-2.74923,56.513302,67733423.1981215,45821.4722047007
7545,S13002872,"Arbroath West, Letham and Friockheim", ,353966,746633,-2.75154,56.609291,210800858.027292,84814.686445885
7546,S13002873,Arbroath East and Lunan, ,366249,746731,-2.55147,56.611221,63156441.3563069,38185.5538025198
